sample_id,subject_id,volume_id,plane,slice_index,retain_ratio,mask_id,method,psnr,ssim
sag_50_1,subj_1,vol_1,Sagittal,1,0.5,mask_sag_50_1,resunet_data_consistency,28.0,0.76
sag_50_2,subj_2,vol_2,Sagittal,2,0.5,mask_sag_50_2,zero_filled,27.0,0.67
sag_50_2,subj_2,vol_2,Sagittal,2,0.5,mask_sag_50_2,resunet,28.0,0.7200000000000001
sag_50_2,subj_2,vol_2,Sagittal,2,0.5,mask_sag_50_2,resunet_data_consistency,29.0,0.77
cor_20_0,subj_0,vol_0,Coronal,0,0.2,mask_cor_20_0,zero_filled,22.0,0.62
cor_20_0,subj_0,vol_0,Coronal,0,0.2,mask_cor_20_0,resunet,23.0,0.67
cor_20_0,subj_0,vol_0,Coronal,0,0.2,mask_cor_20_0,resunet_data_consistency,24.0,0.72
cor_20_1,subj_1,vol_1,Coronal,1,0.2,mask_cor_20_1,zero_filled,23.0,0.63
cor_20_1,subj_1,vol_1,Coronal,1,0.2,mask_cor_20_1,resunet,24.0,0.68
cor_20_1,subj_1,vol_1,Coronal,1,0.2,mask_cor_20_1,resunet_data_consistency,25.0,0.73
cor_20_2,subj_2,vol_2,Coronal,2,0.2,mask_cor_20_2,zero_filled,24.0,0.64
cor_20_2,subj_2,vol_2,Coronal,2,0.2,mask_cor_20_2,resunet,25.0,0.6900000000000001
cor_20_2,subj_2,vol_2,Coronal,2,0.2,mask_cor_20_2,resunet_data_consistency,26.0,0.74
cor_30_0,subj_0,vol_0,Coronal,0,0.3,mask_cor_30_0,zero_filled,23.0,0.63
cor_30_0,subj_0,vol_0,Coronal,0,0.3,mask_cor_30_0,resunet,24.0,0.68
cor_30_0,subj_0,vol_0,Coronal,0,0.3,mask_cor_30_0,resunet_data_consistency,25.0,0.73
cor_30_1,subj_1,vol_1,Coronal,1,0.3,mask_cor_30_1,zero_filled,24.0,0.64
cor_30_1,subj_1,vol_1,Coronal,1,0.3,mask_cor_30_1,resunet,25.0,0.6900000000000001
cor_30_1,subj_1,vol_1,Coronal,1,0.3,mask_cor_30_1,resunet_data_consistency,26.0,0.74
cor_30_2,subj_2,vol_2,Coronal,2,0.3,mask_cor_30_2,zero_filled,25.0,0.65
cor_30_2,subj_2,vol_2,Coronal,2,0.3,mask_cor_30_2,resunet,26.0,0.7000000000000001
cor_30_2,subj_2,vol_2,Coronal,2,0.3,mask_cor_30_2,resunet_data_consistency,27.0,0.75
cor_50_0,subj_0,vol_0,Coronal,0,0.5,mask_cor_50_0,zero_filled,25.0,0.65
cor_50_0,subj_0,vol_0,Coronal,0,0.5,mask_cor_50_0,resunet,26.0,0.7000000000000001
cor_50_0,subj_0,vol_0,Coronal,0,0.5,mask_cor_50_0,resunet_data_consistency,27.0,0.75
cor_50_1,subj_1,vol_1,Coronal,1,0.5,mask_cor_50_1,zero_filled,26.0,0.66
cor_50_1,subj_1,vol_1,Coronal,1,0.5,mask_cor_50_1,resunet,27.0,0.7100000000000001
cor_50_1,subj_1,vol_1,Coronal,1,0.5,mask_cor_50_1,resunet_data_consistency,28.0,0.76
cor_50_2,subj_2,vol_2,Coronal,2,0.5,mask_cor_50_2,zero_filled,27.0,0.67
cor_50_2,subj_2,vol_2,Coronal,2,0.5,mask_cor_50_2,resunet,28.0,0.7200000000000001
cor_50_2,subj_2,vol_2,Coronal,2,0.5,mask_cor_50_2,resunet_data_consistency,29.0,0.77
axi_20_0,subj_0,vol_0,Axial,0,0.2,mask_axi_20_0,zero_filled,22.0,0.62
axi_20_0,subj_0,vol_0,Axial,0,0.2,mask_axi_20_0,resunet,23.0,0.67
axi_20_0,subj_0,vol_0,Axial,0,0.2,mask_axi_20_0,resunet_data_consistency,24.0,0.72
axi_20_1,subj_1,vol_1,Axial,1,0.2,mask_axi_20_1,zero_filled,23.0,0.63
axi_20_1,subj_1,vol_1,Axial,1,0.2,mask_axi_20_1,resunet,24.0,0.68
axi_20_1,subj_1,vol_1,Axial,1,0.2,mask_axi_20_1,resunet_data_consistency,25.0,0.73
axi_20_2,subj_2,vol_2,Axial,2,0.2,mask_axi_20_2,zero_filled,24.0,0.64
axi_20_2,subj_2,vol_2,Axial,2,0.2,mask_axi_20_2,resunet,25.0,0.6900000000000001
axi_20_2,subj_2,vol_2,Axial,2,0.2,mask_axi_20_2,resunet_data_consistency,26.0,0.74
axi_30_0,subj_0,vol_0,Axial,0,0.3,mask_axi_30_0,zero_filled,23.0,0.63
axi_30_0,subj_0,vol_0,Axial,0,0.3,mask_axi_30_0,resunet,24.0,0.68
axi_30_0,subj_0,vol_0,Axial,0,0.3,mask_axi_30_0,resunet_data_consistency,25.0,0.73
axi_30_1,subj_1,vol_1,Axial,1,0.3,mask_axi_30_1,zero_filled,24.0,0.64
axi_30_1,subj_1,vol_1,Axial,1,0.3,mask_axi_30_1,resunet,25.0,0.6900000000000001
axi_30_1,subj_1,vol_1,Axial,1,0.3,mask_axi_30_1,resunet_data_consistency,26.0,0.74
axi_30_2,subj_2,vol_2,Axial,2,0.3,mask_axi_30_2,zero_filled,25.0,0.65
axi_30_2,subj_2,vol_2,Axial,2,0.3,mask_axi_30_2,resunet,26.0,0.7000000000000001
axi_30_2,subj_2,vol_2,Axial,2,0.3,mask_axi_30_2,resunet_data_consistency,27.0,0.75
axi_50_0,subj_0,vol_0,Axial,0,0.5,mask_axi_50_0,zero_filled,25.0,0.65
axi_50_0,subj_0,vol_0,Axial,0,0.5,mask_axi_50_0,resunet,26.0,0.7000000000000001
axi_50_0,subj_0,vol_0,Axial,0,0.5,mask_axi_50_0,resunet_data_consistency,27.0,0.75
axi_50_1,subj_1,vol_1,Axial,1,0.5,mask_axi_50_1,zero_filled,26.0,0.66
axi_50_1,subj_1,vol_1,Axial,1,0.5,mask_axi_50_1,resunet,27.0,0.7100000000000001
axi_50_1,subj_1,vol_1,Axial,1,0.5,mask_axi_50_1,resunet_data_consistency,28.0,0.76
axi_50_2,subj_2,vol_2,Axial,2,0.5,mask_axi_50_2,zero_filled,27.0,0.67
axi_50_2,subj_2,vol_2,Axial,2,0.5,mask_axi_50_2,resunet,28.0,0.7200000000000001
axi_50_2,subj_2,vol_2,Axial,2,0.5,mask_axi_50_2,resunet_data_consistency,29.0,0.77
